"company_id","genre","company","name_eng"
153,"company","เมเจอร์ ดีเวลลอปเม้นท์ พร็อพเพอร์ตี้",NULL
154,"company","เมเจอร์ ดีเวลลอปเม้นท์ พร็อพเพอร์ตี้ พาร์ทเนอร์ส จำกัด",NULL
155,"company","เมเจอร์ พร็อพเพอร์ตี้ เซอร์วิส จำกัด",NULL
156,"company","เมเจอร์พรอพเพอร์ตี้ คอนซัลแทนท์ จำกัด",NULL
157,"company","เมโทร พรอพเพอร์ตี้ แมเนจเม้นท์ จำกัด",NULL
158,"company","เมกะ พร็อพเพอร์ตี้ แมเนจเม้นท์ แอนด์",NULL
159,"company","เมกะ พร็อพเพอร์ตี้ แมเนจเม้นท์ แอนด์ คอนซัลแทนซี่ จำกัด",NULL
160,"company","เมกะ พลัส พร็อพเพอร์ตี้ แมเนจเม้นท์ จำกัด",NULL
162,"company","เมนเฟรท โลจิสติกส์ (ไทยแลนด์) จำกัด",NULL
163,"company","เมอริท โฮลดิ้งส์ (1989) จำกัด",NULL
164,"company","เมืองทอง เซอร์วิสเซส แอนด์ แมเน็จเม้นท์ จำกัด",NULL
165,"company","เมืองทอง เซอร์วิสเซส แอนด์ แอนด์ แมเน็จเม้นท์ จำกัด",NULL
166,"company","เมืองพัฒนา จำกัด",NULL
167,"company","เรสซิเด้นท์เชียล เซอร์วิส จำกัด",NULL
168,"company","เรียลแมนเนจเม้นท์ 2552 จำกัด",NULL
169,"company","เรียลแอสเสท ดีเวลลอปเม้นท์ จำกัด",NULL
170,"company","เรียลพร็อพเพอร์ตี้แมเนจเม้นท์ จำกัด",NULL
172,"company","เรือนจามจุรี จำกัด",NULL
173,"company","เวลธ์ ดีเวลลอปเปอร์ จำกัด",NULL
174,"company","เวอร์ติคอล จำกัด",NULL
176,"company","เวอร์ติพลัส 98 จำกัด",NULL
178,"company","เวิร์ค อีท เพลย์ จำกัด",NULL
179,"company","เวิร์คพลัส พร็อพเพอร์ตี้ แมเนจเม้นท์ จำกัด",NULL
180,"company","เศรษฐธนาแลนด์ จำกัด",NULL
181,"company","เอ เค คอมพิวเตอร์",NULL
182,"company","เอ พลัส เรียลเอสเตท จำกัด",NULL
183,"company","เอ.เอ็ม.เอส. ลิสซิ่ง จำกัด",NULL
184,"company","เอ.ซี. พร็อพเพอร์ตี้ กรุ๊ป จำกัด",NULL
186,"company","เอ.บี. เดคคอร์เรท จำกัด (สำนักงานใหญ่)",NULL
187,"company","เอ.บี.เดคคอร์เรท จำกัด",NULL
188,"company","เอเวอร์นิว พลาซ่า จำกัด",NULL
189,"company","เอไอเอ็ม รีท แมนเนจเม้นท์ จำกัด",NULL
190,"company","เอ็กเซลโฮลดิ้ง จำกัด",NULL
191,"company","เอ็กซ์เซล แอสแซทส์ จำกัด",NULL
192,"company","เอกพิพัฒนา จำกัด",NULL
193,"company","เอคควิตี้ พร็อพเพอร์ตี้ แมเนจเม้นท์ จำกัด",NULL
195,"company","เอคิว พร๊อพเพอร์ตี้ แมเนจเม้นท์ จำกัด",NULL
196,"company","เอจีซี มาเท็กซ์ (ไทยแลนด์) จำกัด",NULL
197,"company","เอช ที อาร์ จำกัด",NULL
198,"company","เอชบี แอสเสท แมเนจเม้นท์ แอนด์ เซอร์วิส จำกัด",NULL
199,"company","เอชบี อินเตอร์ เรียลตี้ แมเนจเม้นท์",NULL
200,"company","เอชบี อินเตอร์ เรียลตี้ แมเนจเม้นท์ จำกัด",NULL
201,"company","เอชอาร์.ไดเจสท์ (2013) จำกัด",NULL
