ticket_id,year,date,company_id,management_id,status_id,phone1_id,phone2_id,phone3_id,question_id,solve_id
139,2026,NULL,2639,649,788,NULL,1136,NULL,156,20881
140,2026,NULL,5090,NULL,1896,1760,NULL,NULL,32,15690
141,2026,NULL,6295,NULL,788,NULL,NULL,1042,61,83
142,2026,NULL,5217,NULL,828,NULL,NULL,5445,59,8647
143,2026,NULL,6107,NULL,866,NULL,NULL,7631,13,1065
144,2026,NULL,7515,NULL,801,NULL,NULL,5420,156,19104
145,2026,NULL,2811,NULL,788,NULL,4121,NULL,176,20881
146,2026,NULL,2381,NULL,788,NULL,4418,NULL,164,22266
147,2026,NULL,7634,NULL,801,NULL,NULL,3984,15,5620
148,2026,NULL,6894,NULL,801,NULL,NULL,2735,92,20881
149,2026,NULL,6107,NULL,866,NULL,NULL,7631,54,706
150,2026,NULL,6312,736,866,NULL,NULL,4863,89,19104
151,2026,NULL,5066,NULL,839,NULL,2268,NULL,130,20881
152,2026,NULL,3270,NULL,866,NULL,2890,NULL,116,3141
153,2026,NULL,5709,276,839,NULL,5254,NULL,95,8647
154,2026,NULL,5507,NULL,796,NULL,NULL,4365,102,20881
155,2026,NULL,1040,NULL,828,NULL,NULL,NULL,91,NULL
156,2026,NULL,2969,NULL,796,NULL,1808,NULL,120,14981
157,2026,NULL,6917,342,829,719,NULL,NULL,171,20881
158,2026,NULL,3466,335,866,NULL,1982,NULL,14,987
159,2026,NULL,1040,NULL,828,NULL,NULL,NULL,29,NULL
160,2026,NULL,4614,NULL,811,76,NULL,NULL,78,13935
161,2026,NULL,2797,701,796,NULL,NULL,3688,156,6772
162,2026,NULL,3926,NULL,1880,NULL,377,NULL,10,15170
163,2026,NULL,5930,753,801,NULL,3930,NULL,20,20991
164,2026,NULL,6471,NULL,1726,NULL,3763,NULL,59,NULL
165,2026,NULL,6056,NULL,866,NULL,3401,NULL,114,20881
166,2026,NULL,3652,NULL,788,NULL,3348,NULL,179,21533
167,2026,NULL,6288,NULL,854,292,NULL,NULL,70,8148
168,2026,NULL,3016,NULL,784,NULL,3846,NULL,86,8568
169,2026,NULL,3372,NULL,801,NULL,3000,NULL,172,14981
170,2026,NULL,5463,856,847,NULL,1112,NULL,75,15628
171,2026,NULL,2714,814,1332,NULL,5467,NULL,65,20881
172,2026,NULL,3716,389,801,NULL,1915,NULL,64,20881
173,2026,NULL,6131,NULL,932,NULL,1339,8280,161,NULL
174,2026,NULL,5131,NULL,806,NULL,1718,NULL,156,20881
175,2026,NULL,5311,NULL,801,NULL,397,NULL,44,4991
176,2026,NULL,3158,590,806,NULL,NULL,4685,40,6772
177,2026,NULL,5496,NULL,806,NULL,4532,6611,131,8972
178,2026,NULL,1675,803,672,NULL,NULL,6871,165,20957
179,2026,NULL,3652,NULL,788,NULL,3348,NULL,153,2908
180,2026,NULL,5737,NULL,801,NULL,NULL,6908,108,8647
181,2026,NULL,2269,NULL,796,NULL,4681,NULL,NULL,NULL
182,2026,NULL,3606,741,839,NULL,684,NULL,28,985
183,2026,NULL,2924,NULL,1321,NULL,NULL,8148,182,19708
184,2026,NULL,2385,688,811,NULL,NULL,2795,165,20881
185,2026,NULL,6531,NULL,1004,NULL,NULL,3126,84,20881
